
Age(Year)   Epochs	max_seq_len	    batch_size	attention_heads num_hidden_layers   hidden_size	    lr	        Best Acc
Yes 	    10	    256	            128	        12	                 6	            288	            3.00E-05	0.460
----------------------------------------------------------------------------------------------------------------
epoch: 0	| Batches: 100	| Total samples: 12800	 |Loss: 4.191232647895813	| precision: 0.3273	| time: 91.33
epoch: 0	| Batches: 200	| Total samples: 25600	 |Loss: 3.944384343624115	| precision: 0.3418	| time: 85.48
epoch: 0	| Batches: 300	| Total samples: 38400	 |Loss: 3.80644344329834	| precision: 0.3528	| time: 84.95
epoch: 0	| Batches: 400	| Total samples: 51200	 |Loss: 3.6168653535842896	| precision: 0.3681	| time: 85.22
epoch: 0	| Batches: 426	| Total samples: 54498	 |Loss: 3.542871438539945	| precision: 0.3698	| time: 22.03
** ** * Saving fine - tuned model ** ** * 
epoch: 1	| Batches: 100	| Total samples: 12800	 |Loss: 3.4733508348464968	| precision: 0.3711	| time: 85.23
epoch: 1	| Batches: 200	| Total samples: 25600	 |Loss: 3.3988174533843996	| precision: 0.3692	| time: 85.32
epoch: 1	| Batches: 300	| Total samples: 38400	 |Loss: 3.3255477952957153	| precision: 0.3732	| time: 85.23
epoch: 1	| Batches: 400	| Total samples: 51200	 |Loss: 3.252799303531647	| precision: 0.3775	| time: 84.98
epoch: 1	| Batches: 426	| Total samples: 54498	 |Loss: 3.1849965315598707	| precision: 0.3863	| time: 22.08
** ** * Saving fine - tuned model ** ** * 
epoch: 2	| Batches: 100	| Total samples: 12800	 |Loss: 3.1903704237937927	| precision: 0.3802	| time: 84.82
epoch: 2	| Batches: 200	| Total samples: 25600	 |Loss: 3.129626908302307	| precision: 0.3860	| time: 85.20
epoch: 2	| Batches: 300	| Total samples: 38400	 |Loss: 3.0872721529006957	| precision: 0.3887	| time: 84.96
epoch: 2	| Batches: 400	| Total samples: 51200	 |Loss: 3.0558118653297424	| precision: 0.3926	| time: 85.03
epoch: 2	| Batches: 426	| Total samples: 54498	 |Loss: 3.0333594725682187	| precision: 0.3948	| time: 22.03
** ** * Saving fine - tuned model ** ** * 
epoch: 3	| Batches: 100	| Total samples: 12800	 |Loss: 2.9936995315551758	| precision: 0.3997	| time: 85.21
epoch: 3	| Batches: 200	| Total samples: 25600	 |Loss: 2.961270570755005	| precision: 0.4000	| time: 84.87
epoch: 3	| Batches: 300	| Total samples: 38400	 |Loss: 2.9257597708702088	| precision: 0.4048	| time: 85.10
epoch: 3	| Batches: 400	| Total samples: 51200	 |Loss: 2.901094150543213	| precision: 0.4063	| time: 85.01
epoch: 3	| Batches: 426	| Total samples: 54498	 |Loss: 2.9031927310503445	| precision: 0.4056	| time: 22.08
** ** * Saving fine - tuned model ** ** * 
epoch: 4	| Batches: 100	| Total samples: 12800	 |Loss: 2.870472092628479	| precision: 0.4112	| time: 85.10
epoch: 4	| Batches: 200	| Total samples: 25600	 |Loss: 2.839996547698975	| precision: 0.4165	| time: 84.95
epoch: 4	| Batches: 300	| Total samples: 38400	 |Loss: 2.8186112332344053	| precision: 0.4174	| time: 85.14
epoch: 4	| Batches: 400	| Total samples: 51200	 |Loss: 2.7749109196662904	| precision: 0.4257	| time: 85.03
