
Age(Mon)   Epochs	max_seq_len	    batch_size	attention_heads num_hidden_layers   hidden_size	    lr	        Best Acc
Yes 	    10	    256	            128	        6	                 4	            72	            3.00E-05	0.3602
----------------------------------------------------------------------------------------------------------------------
epoch: 0	| Batches: 100	| Total samples: 12800	 |Loss: 5.001215629577636	| precision: 0.3050	| time: 34.74
epoch: 0	| Batches: 200	| Total samples: 25600	 |Loss: 4.475557713508606	| precision: 0.3375	| time: 26.20
epoch: 0	| Batches: 300	| Total samples: 38400	 |Loss: 4.255345883369446	| precision: 0.3383	| time: 26.74
epoch: 0	| Batches: 400	| Total samples: 51200	 |Loss: 4.152856056690216	| precision: 0.3337	| time: 26.03
epoch: 0	| Batches: 426	| Total samples: 54498	 |Loss: 4.095918490336492	| precision: 0.3405	| time: 6.52
** ** * Saving fine - tuned model ** ** * 
epoch: 1	| Batches: 100	| Total samples: 12800	 |Loss: 4.093470649719238	| precision: 0.3388	| time: 26.80
epoch: 1	| Batches: 200	| Total samples: 25600	 |Loss: 4.074887027740479	| precision: 0.3371	| time: 26.17
epoch: 1	| Batches: 300	| Total samples: 38400	 |Loss: 4.062526390552521	| precision: 0.3367	| time: 26.00
epoch: 1	| Batches: 400	| Total samples: 51200	 |Loss: 4.063703441619873	| precision: 0.3366	| time: 25.99
epoch: 1	| Batches: 426	| Total samples: 54498	 |Loss: 4.046618168170635	| precision: 0.3376	| time: 6.53
** ** * Saving fine - tuned model ** ** * 
epoch: 2	| Batches: 100	| Total samples: 12800	 |Loss: 4.031321558952332	| precision: 0.3400	| time: 26.08
epoch: 2	| Batches: 200	| Total samples: 25600	 |Loss: 4.0306713676452635	| precision: 0.3385	| time: 26.24
epoch: 2	| Batches: 300	| Total samples: 38400	 |Loss: 4.014438836574555	| precision: 0.3398	| time: 26.54
epoch: 2	| Batches: 400	| Total samples: 51200	 |Loss: 4.025377504825592	| precision: 0.3364	| time: 26.24
epoch: 2	| Batches: 426	| Total samples: 54498	 |Loss: 3.986584810110239	| precision: 0.3438	| time: 6.46
** ** * Saving fine - tuned model ** ** * 
epoch: 3	| Batches: 100	| Total samples: 12800	 |Loss: 4.018344881534577	| precision: 0.3404	| time: 25.96
epoch: 3	| Batches: 200	| Total samples: 25600	 |Loss: 3.98186784029007	| precision: 0.3536	| time: 26.18
epoch: 3	| Batches: 300	| Total samples: 38400	 |Loss: 3.976680824756622	| precision: 0.3545	| time: 26.11
epoch: 3	| Batches: 400	| Total samples: 51200	 |Loss: 3.9699274945259093	| precision: 0.3530	| time: 26.00
epoch: 3	| Batches: 426	| Total samples: 54498	 |Loss: 3.93885338306427	| precision: 0.3565	| time: 6.46
** ** * Saving fine - tuned model ** ** * 
