Age(Year)   Epochs	max_seq_len	    batch_size	attention_heads num_hidden_layers   hidden_size	    lr	        Best Acc
Yes 	    50	    256	            128	        12	                 6	            288	            1.00E-03	0.5333
-------------------------------------------------------------------------------------------------------------------------
epoch: 0	| Batches: 100	| Total samples: 12800	 |Loss: 4.173036320209503	| precision: 0.3299	| time: 87.61
epoch: 0	| Batches: 200	| Total samples: 25600	 |Loss: 3.9890609645843504	| precision: 0.3387	| time: 82.21
epoch: 0	| Batches: 300	| Total samples: 38400	 |Loss: 3.8348049306869507	| precision: 0.3604	| time: 82.00
epoch: 0	| Batches: 400	| Total samples: 51200	 |Loss: 3.6523276424407958	| precision: 0.3643	| time: 82.42
epoch: 0	| Batches: 426	| Total samples: 54498	 |Loss: 3.537033255283649	| precision: 0.3704	| time: 21.21
** ** * Saving fine - tuned model ** ** * 
epoch: 1	| Batches: 100	| Total samples: 12800	 |Loss: 3.4806970524787904	| precision: 0.3682	| time: 81.99
epoch: 1	| Batches: 200	| Total samples: 25600	 |Loss: 3.3854252576828	| precision: 0.3716	| time: 82.49
epoch: 1	| Batches: 300	| Total samples: 38400	 |Loss: 3.3084163522720336	| precision: 0.3743	| time: 82.33
epoch: 1	| Batches: 400	| Total samples: 51200	 |Loss: 3.2571898198127744	| precision: 0.3773	| time: 82.12
epoch: 1	| Batches: 426	| Total samples: 54498	 |Loss: 3.232458683160635	| precision: 0.3815	| time: 21.17
** ** * Saving fine - tuned model ** ** * 
epoch: 2	| Batches: 100	| Total samples: 12800	 |Loss: 3.178279094696045	| precision: 0.3828	| time: 82.12
epoch: 2	| Batches: 200	| Total samples: 25600	 |Loss: 3.1322914505004884	| precision: 0.3868	| time: 82.31
epoch: 2	| Batches: 300	| Total samples: 38400	 |Loss: 3.088214054107666	| precision: 0.3899	| time: 82.39
epoch: 2	| Batches: 400	| Total samples: 51200	 |Loss: 3.028865990638733	| precision: 0.3989	| time: 82.68
epoch: 2	| Batches: 426	| Total samples: 54498	 |Loss: 3.045081615447998	| precision: 0.3892	| time: 21.15
** ** * Saving fine - tuned model ** ** * 
epoch: 3	| Batches: 100	| Total samples: 12800	 |Loss: 2.980244324207306	| precision: 0.4020	| time: 82.33
epoch: 3	| Batches: 200	| Total samples: 25600	 |Loss: 2.948078441619873	| precision: 0.4053	| time: 82.09
epoch: 3	| Batches: 300	| Total samples: 38400	 |Loss: 2.936603262424469	| precision: 0.4041	| time: 81.98
epoch: 3	| Batches: 400	| Total samples: 51200	 |Loss: 2.8818159461021424	| precision: 0.4133	| time: 82.83
epoch: 3	| Batches: 426	| Total samples: 54498	 |Loss: 2.8874852382219753	| precision: 0.4106	| time: 21.24
** ** * Saving fine - tuned model ** ** * 
epoch: 4	| Batches: 100	| Total samples: 12800	 |Loss: 2.864401116371155	| precision: 0.4108	| time: 82.29
epoch: 4	| Batches: 200	| Total samples: 25600	 |Loss: 2.8270671939849854	| precision: 0.4161	| time: 82.79
epoch: 4	| Batches: 300	| Total samples: 38400	 |Loss: 2.8278652596473695	| precision: 0.4172	| time: 82.32
epoch: 4	| Batches: 400	| Total samples: 51200	 |Loss: 2.809308624267578	| precision: 0.4185	| time: 82.45
epoch: 4	| Batches: 426	| Total samples: 54498	 |Loss: 2.800772327643174	| precision: 0.4185	| time: 21.20
** ** * Saving fine - tuned model ** ** * 
epoch: 5	| Batches: 100	| Total samples: 12800	 |Loss: 2.7770060753822325	| precision: 0.4216	| time: 82.29
epoch: 5	| Batches: 200	| Total samples: 25600	 |Loss: 2.7392247676849366	| precision: 0.4277	| time: 82.37
epoch: 5	| Batches: 300	| Total samples: 38400	 |Loss: 2.735590696334839	| precision: 0.4253	| time: 82.21
epoch: 5	| Batches: 400	| Total samples: 51200	 |Loss: 2.716229043006897	| precision: 0.4255	| time: 82.27
epoch: 5	| Batches: 426	| Total samples: 54498	 |Loss: 2.6900229178942165	| precision: 0.4309	| time: 21.12
** ** * Saving fine - tuned model ** ** * 
epoch: 6	| Batches: 100	| Total samples: 12800	 |Loss: 2.6873435735702516	| precision: 0.4300	| time: 81.92
epoch: 6	| Batches: 200	| Total samples: 25600	 |Loss: 2.6918977332115173	| precision: 0.4321	| time: 82.36
epoch: 6	| Batches: 300	| Total samples: 38400	 |Loss: 2.6637918186187743	| precision: 0.4350	| time: 81.79
epoch: 6	| Batches: 400	| Total samples: 51200	 |Loss: 2.654075207710266	| precision: 0.4340	| time: 82.05
epoch: 6	| Batches: 426	| Total samples: 54498	 |Loss: 2.6313137457920956	| precision: 0.4424	| time: 21.17
** ** * Saving fine - tuned model ** ** * 
epoch: 7	| Batches: 100	| Total samples: 12800	 |Loss: 2.6306876802444457	| precision: 0.4384	| time: 81.81
epoch: 7	| Batches: 200	| Total samples: 25600	 |Loss: 2.623907136917114	| precision: 0.4415	| time: 82.27
epoch: 7	| Batches: 300	| Total samples: 38400	 |Loss: 2.6009824204444887	| precision: 0.4455	| time: 82.17
epoch: 7	| Batches: 400	| Total samples: 51200	 |Loss: 2.59964998960495	| precision: 0.4467	| time: 82.04
epoch: 7	| Batches: 426	| Total samples: 54498	 |Loss: 2.600201423351581	| precision: 0.4412	| time: 21.17
** ** * Saving fine - tuned model ** ** * 
epoch: 8	| Batches: 100	| Total samples: 12800	 |Loss: 2.5739510798454286	| precision: 0.4502	| time: 82.51
epoch: 8	| Batches: 200	| Total samples: 25600	 |Loss: 2.56537296295166	| precision: 0.4491	| time: 82.16
epoch: 8	| Batches: 300	| Total samples: 38400	 |Loss: 2.551297788619995	| precision: 0.4527	| time: 81.85
epoch: 8	| Batches: 400	| Total samples: 51200	 |Loss: 2.541713659763336	| precision: 0.4533	| time: 82.31
epoch: 8	| Batches: 426	| Total samples: 54498	 |Loss: 2.5189332503538866	| precision: 0.4586	| time: 21.02
** ** * Saving fine - tuned model ** ** * 
epoch: 9	| Batches: 100	| Total samples: 12800	 |Loss: 2.528912415504456	| precision: 0.4528	| time: 82.15
epoch: 9	| Batches: 200	| Total samples: 25600	 |Loss: 2.5075826239585877	| precision: 0.4587	| time: 82.29
epoch: 9	| Batches: 300	| Total samples: 38400	 |Loss: 2.5245231938362123	| precision: 0.4523	| time: 82.03
epoch: 9	| Batches: 400	| Total samples: 51200	 |Loss: 2.5059517002105713	| precision: 0.4586	| time: 82.56
epoch: 9	| Batches: 426	| Total samples: 54498	 |Loss: 2.4895704159369836	| precision: 0.4610	| time: 21.22
** ** * Saving fine - tuned model ** ** * 
epoch: 10	| Batches: 100	| Total samples: 12800	 |Loss: 2.4836620259284974	| precision: 0.4603	| time: 81.76
epoch: 10	| Batches: 200	| Total samples: 25600	 |Loss: 2.4718998789787294	| precision: 0.4628	| time: 82.23
epoch: 10	| Batches: 300	| Total samples: 38400	 |Loss: 2.4732755160331727	| precision: 0.4612	| time: 82.17
epoch: 10	| Batches: 400	| Total samples: 51200	 |Loss: 2.483298273086548	| precision: 0.4612	| time: 82.17
epoch: 10	| Batches: 426	| Total samples: 54498	 |Loss: 2.474130942271306	| precision: 0.4655	| time: 21.16
** ** * Saving fine - tuned model ** ** * 
epoch: 11	| Batches: 100	| Total samples: 12800	 |Loss: 2.4465079045295717	| precision: 0.4646	| time: 82.10
epoch: 11	| Batches: 200	| Total samples: 25600	 |Loss: 2.44701895236969	| precision: 0.4681	| time: 82.34
epoch: 11	| Batches: 300	| Total samples: 38400	 |Loss: 2.4527657079696654	| precision: 0.4661	| time: 82.28
epoch: 11	| Batches: 400	| Total samples: 51200	 |Loss: 2.4417506504058837	| precision: 0.4668	| time: 82.27
epoch: 11	| Batches: 426	| Total samples: 54498	 |Loss: 2.425594604932345	| precision: 0.4703	| time: 21.05
** ** * Saving fine - tuned model ** ** * 
epoch: 12	| Batches: 100	| Total samples: 12800	 |Loss: 2.4234109139442443	| precision: 0.4706	| time: 82.17
epoch: 12	| Batches: 200	| Total samples: 25600	 |Loss: 2.4094444346427917	| precision: 0.4715	| time: 82.02
epoch: 12	| Batches: 300	| Total samples: 38400	 |Loss: 2.4234771156311035	| precision: 0.4702	| time: 82.17
epoch: 12	| Batches: 400	| Total samples: 51200	 |Loss: 2.4015117859840394	| precision: 0.4719	| time: 82.27
epoch: 12	| Batches: 426	| Total samples: 54498	 |Loss: 2.3818867206573486	| precision: 0.4759	| time: 21.08
** ** * Saving fine - tuned model ** ** * 
epoch: 13	| Batches: 100	| Total samples: 12800	 |Loss: 2.3863648772239685	| precision: 0.4782	| time: 81.92
epoch: 13	| Batches: 200	| Total samples: 25600	 |Loss: 2.389418303966522	| precision: 0.4748	| time: 82.56
epoch: 13	| Batches: 300	| Total samples: 38400	 |Loss: 2.371860480308533	| precision: 0.4776	| time: 81.94
